Nome completo,Telefone,E-mail,CPF,Data de nascimento,Observações
Elaine Figueiredo Castro,(71) 98238-8244,elaine.castro@hotmail.com,872.148.951-37,27/04/1979,Aniversário de casamento em março
Fábio Junqueira Peixoto,(41) 93414-1400,fabio.peixoto@gmail.com,379.176.936-78,16/07/1975,Viaja com 2 filhos pequenos
Giovana Assunção Neves,(11) 92746-7965,giovana.neves@hotmail.com,287.083.172-24,26/08/1993,"Grupo de amigas, 5 pessoas"
Hugo Leal Sampaio,(71) 99270-7991,hugo.sampaio@icloud.com,727.743.487-06,21/04/1977,Primeira viagem internacional
Ingrid Bittencourt Aragão,(21) 95681-4841,ingrid.aragao@outlook.com,558.122.362-91,23/04/1964,Cruzeiro no fim do ano
Júlio César Xavier,(61) 96421-9890,julio.xavier@yahoo.com.br,603.669.096-73,16/01/1982,Passaporte vence em breve — conferir
Letícia Amaral Guimarães,(61) 97865-9818,leticia.guimaraes@icloud.com,937.346.706-91,11/11/1985,Interesse em Europa no verão
Marcelo Antunes Bastos,(71) 93091-9751,marcelo.bastos@gmail.com,699.016.272-49,02/05/1984,"Grupo de amigas, 5 pessoas"
Natália Queiroz Fagundes,(41) 98449-6355,natalia.fagundes@outlook.com,646.417.080-53,12/04/2001,Prefere pacotes all-inclusive
Otávio Serra Camargo,(11) 91508-5051,otavio.camargo@hotmail.com,092.327.193-71,15/12/1976,Prefere parcelar no cartão
Priscila Macedo Coelho,(31) 92876-3683,priscila.coelho@outlook.com,190.496.631-41,19/12/2000,Aniversário de casamento em março
Renato Villela Drummond,(21) 95941-2983,renato.drummond@icloud.com,058.651.850-98,28/07/1991,Indicação da Fernanda
Simone Paiva Rabelo,(61) 96934-8532,simone.rabelo@hotmail.com,628.498.776-54,27/12/1997,Fecha por WhatsApp
Tomás Bandeira Quintela,(51) 95022-2419,tomas.quintela@outlook.com,737.996.507-76,28/06/1971,
Valentina Gaspar Sá,(41) 96813-5232,valentina.sa@outlook.com,494.808.313-50,24/07/1991,Aniversário de casamento em março
William Fontes Aguiar,(71) 99041-8342,william.aguiar@gmail.com,143.634.957-58,18/09/1982,Cruzeiro no fim do ano
Ximena Solano Rios,(81) 96419-6764,ximena.rios@yahoo.com.br,444.313.518-92,25/12/1971,Só voos diretos
Yuri Bezerra Portela,(41) 98933-5530,yuri.portela@icloud.com,894.134.352-60,10/01/1994,Viaja com 2 filhos pequenos
Zilda Furtado Meireles,(47) 91745-1893,zilda.meireles@icloud.com,427.109.477-30,15/06/1971,Cliente recorrente — 3ª viagem
André Luiz Sena Braga,(47) 98827-2869,andre.braga@gmail.com,671.902.294-69,03/04/1967,Cruzeiro no fim do ano
Beatriz Helena Vidal,(85) 94697-9561,beatriz.vidal@yahoo.com.br,774.964.990-56,20/12/1966,Só voos diretos
